method,d,tier,studies,type,note,source,valueStatus,valueStatusShort,valueStatusDetail
Smågruppsundervisning/tutoring,0.31,2,62,EEF,EEF: måttlig,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Teaching assistant-interventioner,0.31,2,65,EEF,EEF: måttlig,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Föräldraengagemang,0.31,2,124,EEF,EEF: omfattande,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Behaviour interventions,0.31,2,100,EEF,EEF: måttlig,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Social & emotional learning,0.31,2,83,EEF,EEF: måttlig,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Tidig matematik,0.31,2,50,EEF,EEF: måttlig,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Direkt undervisning / explicit instruction,0.35,2,100,Other,"RCT/metaanalyser, varierar med modell",Blandade metaanalyser,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Mindre klasser,0.14,2,127,Other,"RCT/kvasi, liten effekt",Project STAR + översikter,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Collaborative learning,0.4,3,212,EEF,EEF: begränsad,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Homework,0.4,3,60,EEF,EEF: måttlig,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Digital technology,0.225,3,75,EEF,EEF: måttlig/blandad,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Individualised instruction,0.225,3,197,EEF,EEF: begränsad/blandad,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Flipped classroom,0.14,3,40,Other,Meta: blandad,Blandade metaanalyser,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Inquiry/problem-based learning,0.14,3,70,Other,Meta: blandad,Blandade metaanalyser,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Peer instruction,0.225,3,35,Other,RCT/kvasi,Blandade metaanalyser,Forskningsbaserat men uppskattat,Uppskattat,"Metoden har verkligt forskningsstöd, men det exakta d/g-värdet i grafen är ett typvärde eller en syntes, inte en exakt datapunkt från en enda metaanalys."
Physical activity,0.075,3,46,EEF,EEF: blandad,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Skoluniform,0.0,4,12,EEF,EEF: mycket begränsad,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Arts participation,0.225,4,41,EEF,EEF: begränsad,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Outdoor adventure learning,0.31,4,68,EEF,EEF: begränsad,EEF Toolkit,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
Lärar-elevrelationer,0.225,4,189,Other,Meta: främst korrelation/longitudinellt,Roorda m.fl.; Quin m.fl.,Mer bedömningsbaserat / svagare datapunkt,Bedömning,"Här är den exakta placeringen mer osäker. Forskning kan finnas, men den är ofta observationsbaserad, korrelationell, svår att jämföra eller saknar ett stabilt samlat d-värde."
Relationskompetens,0.225,4,40,Other,Främst observationsstudier,Relationsforskning,Mer bedömningsbaserat / svagare datapunkt,Bedömning,"Här är den exakta placeringen mer osäker. Forskning kan finnas, men den är ofta observationsbaserad, korrelationell, svår att jämföra eller saknar ett stabilt samlat d-värde."
Elevinflytande,0.14,5,30,Other,Ofta korrelation/tvärsnitt,Blandade studier,Mer bedömningsbaserat / svagare datapunkt,Bedömning,"Här är den exakta placeringen mer osäker. Forskning kan finnas, men den är ofta observationsbaserad, korrelationell, svår att jämföra eller saknar ett stabilt samlat d-värde."
Entreprenöriellt lärande,0.075,6,20,Other,Teori/fallstudier dominerar,Blandade studier,Mer bedömningsbaserat / svagare datapunkt,Bedömning,"Här är den exakta placeringen mer osäker. Forskning kan finnas, men den är ofta observationsbaserad, korrelationell, svår att jämföra eller saknar ett stabilt samlat d-värde."
Learning styles,0.0,6,10,Other,Saknar hållbart stöd,Pashler m.fl.,Mer bedömningsbaserat / svagare datapunkt,Bedömning,"Här är den exakta placeringen mer osäker. Forskning kan finnas, men den är ofta observationsbaserad, korrelationell, svår att jämföra eller saknar ett stabilt samlat d-värde."
Kollegialt lärande / PLC,0.25,4,33,Other,"Metaanalys d≈0,25; ofta professionella lärgemenskaper, svagare kausal evidens än RCT",Lomos et al. 2011; EEF Effective PD,Mer direkt forskningsbaserat,Direkt/EEF/meta,"Värdet är relativt nära en publicerad forskningssammanställning, ofta EEF:s Toolkit eller en specifik metaanalys. För EEF-punkter är det dock ofta 'månader extra utveckling' som har omräknats ungefärligt till d/g."
MI / Motiverande samtal,0.25,3,38,Other,"Skolbaserad MI: metaanalys finns, men effekten på skolprestation är blandad; RCT-exempel visar ibland måttliga effekter.",School-based MI meta-analysis; Strait et al. 2012; Terry et al. 2014; Strait et al. 2019,Forskningsbaserat men uppskattat,Uppskattat,"Det finns skolbaserad MI-forskning och metaanalys, men grafens exakta d/g-värde är en försiktig syntes. Enskilda RCT-studier visar ibland högre effekter, men resultaten är blandade och kontextberoende."
